label,text
2,Ted Cruz. What a weak #POTUS!! We need a real leader! #foxnews #DonaldTrump #TedCruz #Hannity This president is a joke!! Support 2nd Amendment!!
1,Hilary Clinton. I thought the family would be debating #HillaryClinton vs #BernieSanders this xmas. Wasn't prepared for a climate change denier at the table
0,"Ted Cruz. #DonaldTrump is like a blazing fire while #TedCruz is carbon monoxide. Both dangerous, but at least you can see one and fight it."
0,Donald Trump. #DowntonAbbey creator Fellowes couldn't make case 4 #DonaldTrump presidency. Says #HillaryClinton more convincing as POTUS. . 
1,Donald Trump. Republican prez aspirant #DonaldTrump maintains 20 point lead over his rival Senator #TedCruz Cruz in latest poll
0,"Hilary Clinton. So according to #HillaryClinton , all you have to do is show a tape of #DonaldTrump 2a peaceful #Muslim &amp; it magically turns em into killers"
2,"Bernie Sanders. Iowa is confirming a tight race, and I can't sleep until I know what's happening. No matter what, well fought to #Bernie and #Hillary."
2,"Ted Cruz. I say #DonaldTrump wins, followed by my fave #MarcoRubio . Was impressed with #TedCruz , maybe vice. Carly annoys me. Ben Lame.zzz"
2,"Donald Trump. #Hillary, #Bernie &amp; O'malley will trip over themselves to defend #Islam &amp; denounce #ISIS as if they're not related. #Trump2016"
0,"Bernie Sanders. They say #BernieOrBust is for people who want a Republican. Not true. I'd never vote Republican, which is why I will never vote for #Hillary"
2,Hilary Clinton. So #Hillary is out on campaign trail &amp; #Bernie gets busted 4 stealing proprietary data &amp; all of a sudden it's Hillary's fault? Classy Bernie
1,"Ted Cruz. Why do #Cruz supporters think #Trump2016 will have a meltdown? He never promised a win. Will have same # delegates, either way. #IowaCaucus"
2,Ted Cruz. Merry Christmas to the good people at #foxnews Thank you for assuring this great country a DEM victory in 2016.#TedCruz #DonaldTrump #yikes
0,Ted Cruz. #bbcdp Is #TedCruz that much better than #DonaldTrump? They both have equally turgid policies.
1,"Hilary Clinton. #Bernie takes the stage as the results linger at 94% reporting, keeping #Hillary ahead with a mere 4 votes, still 50-50 #IowaCaucus"
1,Donald Trump. This Presidential political season is very entertaining. Face it- does it REALLY matter who wins? #Trump2016 #Hillary2016 #Bernie2016
1,"Hilary Clinton. Odd 2 see hardliner liberals go for the less liberal #Hillary simply because she's a woman, when #Bernie is more in line with their ideals"
1,Donald Trump. #morningjoe is such a hypocrite! He likes #HillaryClinton when she is saying crap about #DonaldTrump. He's hallow inside!!!
1,"Ted Cruz. The #trumpites aren't voting for Trump, they're voting for their idea of Trump. It's delusional. #Trump2016 #TedCruz Hope I'm wrong."
0,Hilary Clinton. #HillaryClinton puts your $$ at risk her campaign - #DonaldTrump puts his $$. Who gonna listen to? Skin in game or skinning voters out $$?
2,"Hilary Clinton. #HillaryClinton used usual conditions at state, but #GOP AND #BernieSanders bots both knee jerk over emails w/o reading details of report."
0,Hilary Clinton. If you're union endorses #Hillary2016 over #Bernie2016 that is a red flag that your leadership is making back room deals.
1,Ted Cruz. Lets See: Want to see what's up with #DonaldTrump &amp; #TedCruz in #Iowa just check TRUMP's ΓЩIΓΓΞЯ feed. Bet that is a first.
2,Bernie Sanders. I didn't realize that #Hillary2016 hired Karl Rove in disguise when they got as Press Secretary. #Bernie2016 #FuckTheDNC
1,Ted Cruz. #TedCruz #DonaldTrump I don´t trust any polls but only counted votes after an election. Polls are there to feint and fool people.
1,Hilary Clinton. 1st #DonaldTrump joke bout #CarlyFiorina's face then he can't believe #HillaryClinton using the bathroom. He's really acts like a little boy
0,Donald Trump. #YouAreInDenialIf U think there is any difference btwn #HillaryClinton and #DonaldTrump U cannot trust either one to keep their promises.
1,Ted Cruz. tired of politicians bringing up 9/11 as a political card when they get owned on an issue #TedCruz #DonaldTrump
1,"Donald Trump. If you want to know how children feel about #DonaldTrump, find the young boy sitting behind #HillaryClinton during her speeh"
0,Hilary Clinton. #HillaryClinton totally skated around a real stance or answer on Race in America IMO. I respect #BernieSanders for directly answering.
2,Bernie Sanders. You rocked it! An awesome Town Hall w great moderator.All cand's shone but #Hillary2016 still has my vote altho LOVE #Bernie.
1,"Ted Cruz. Will the media devote all day to promoting a war between #Trump and #Cruz tonight? It's never news, it's always ratings now. #Trump2016"
